number,lengthmi,lengthkm,southwestend,northeastend,formed,removed,notes
I‑2,46.8,75.3,"US 83 in Penitas, Texas","I-69E/US 77/US 83 in Harlingen, Texas",2013,current,"Texas only
Associated routes: none"
I‑4,132.3,212.9,"I-275 in Tampa, Florida","I-95/SR 400 Daytona Beach, Florida",1959,current,"Florida only
Associated routes: none"
I‑5,1381.29,"2,222.97","Fed. 1 at Mexican border in San Ysidro, California","BC 99 at Canadian border in Blaine, Washington",1956,current,"Serves three states: CA, OR, WA
Associated routes: I-105, I-205, I-305, I-405, I-505, I-605, I-705, I-805; Future: I-905"
I‑8,348.25,560.45,"Sunset Cliffs Boulevard/Nimitz Boulevard in San Diego, California","I-10 in Casa Grande, Arizona",1964,current,"Serves two states: CA, AZ
Associated routes: none"
I‑10,2460.34,"3,959.53","SR 1 in Santa Monica, California","I-95/US 17/SR 228 in Jacksonville, Florida",1957,current,"Serves eight states: CA, AZ, NM, TX, LA, MS, AL, FL
Associated routes: I-110, I-210, I-310, I-410, I-510, I-610, I-710, I-910"
I‑11,2.5,4,"US 95 near Boulder City, Nevada","I-515/US 93/US 95 near Henderson, Nevada",2017,current,"Nevada only; planned extension north and south
Associated routes: none"
I‑12,85.59,137.74,"I-10 in Baton Rouge, Louisiana","I-10/I-59 in Slidell, Louisiana",1967,current,"Louisiana only
Associated routes: none"
I‑14,25.9,41.68,"US 190/SH 9 in Copperas Cove, Texas","I-35 in Belton, Texas",2017,current,"Texas only; planned extension east and west
Associated routes: none"
I‑15,1433.52,"2,307.03","I-8/SR 15 in San Diego, California","Hwy 4 at Canadian border in Sweetgrass, Montana",1957,current,"Serves six states: CA, NV, AZ, UT, ID, MT
Associated routes: I-115, I-215, I-315, I-515"
I‑16,166.81,268.45,"I-75 in Macon, Georgia","SR 404 and Montgomery Street/Martin Luther King Jr. Boulevard in Savannah, Georgia",1966,current,"Georgia only
Associated route: I-516"
I‑17,145.76,234.58,"I-10 in Phoenix, Arizona","I-40/SR 89A in Flagstaff, Arizona",1961,current,"Arizona only
Associated routes: none"
