Country,Country Code,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Algeria,DZA,30335732,30765613,31183660,31592153,31995046,32403514,32831096,33288437,33777915,34300076,34860715,35465760,36117637,36819558,37565847,38338562,39113313,39871528,40606052,41318000
Angola,AGO,15504318,15949766,16440924,16983266,17572649,18203369,18865716,19552542,20262399,20997687,21759420,22549547,23369131,24218565,25096150,25998340,26920466,27859305,28813463,29784000
Benin,BEN,6470265,6664098,6865951,7076733,7295394,7520555,7750004,7982225,8216896,8454791,8696916,8944706,9199259,9460802,9729160,10004451,10286712,10575952,10872298,11176000
Botswana,BWA,1669625,1699862,1728340,1754935,1779953,1804339,1829330,1855852,1884238,1914414,1946351,1979882,2014866,2051339,2089315,2128507,2168573,2209197,2250260,2292000
Burundi,BDI,6186352,6278940,6400706,6555829,6741569,6953113,7182451,7423289,7675338,7939573,8212264,8489031,8766930,9043508,9319710,9600186,9891790,10199270,10524117,10864000
Burkina Faso,BFA,10968724,11282701,11607942,11944587,12293100,12654621,13030569,13421930,13829177,14252021,14689726,15141099,15605217,16081904,16571216,17072723,17585977,18110624,18646433,19193000
Cameroon,CMR,14523570,14891891,15274234,15671927,16084886,16513822,16959081,17420795,17899562,18395389,18907008,19432541,19970495,20520447,21082383,21655715,22239904,22834522,23439189,24054000
Central African Rep.,CAF,3597385,3676508,3754986,3832203,3907612,3981665,4055036,4127910,4201758,4275800,4345386,4404230,4448525,4476153,4490416,4499653,4515392,4546100,4594621,4659000
Chad,TCD,7759258,8041846,8342559,8663012,9001689,9353201,9710043,10067009,10421597,10775708,11133861,11502786,11887202,12288651,12705135,13133589,13569438,14009413,14452543,14900000
Comoros,COM,515385,528848,542357,555888,569479,583211,597228,611627,626425,641620,657229,673252,689692,706569,723868,741500,759385,777424,795601,814000
Democratic Republic of the Congo,COD,44840529,45898667,47076387,48394338,49835756,51390033,53034217,54751476,56543011,58417562,60373608,62409435,64523263,66713597,68978682,71316033,73722860,76196619,78736153,81340000
Republic of Congo,COG,3048453,3136344,3225727,3315806,3407180,3502519,3605439,3718243,3842365,3976246,4115435,4253712,4386693,4512730,4633363,4751393,4871101,4995648,5125821,5261000
Djibouti,DJI,680612,700099,717584,732711,746221,758615,770752,783254,796208,809402,822934,836840,851146,865937,881185,896688,912164,927414,942333,957000
Egypt,EGY,67378056,68626664,69905988,71226940,72590118,73981942,75381899,76778149,78159048,79537253,80953881,82465022,84107606,85897561,87813257,89807433,91812566,93778172,95688681,97553000
Eq. Guinea,GNQ,566673,589938,614323,639762,666407,694611,724817,757317,792217,829327,868418,909111,951104,994290,1038593,1083746,1129424,1175389,1221490,1268000
Eritrea,ERI,3224223,3302263,3392801,3497124,3614639,3738265,3858623,3969007,4066648,4153332,4232636,4310334,4390840,4474690,5340000,5460000,5580000,5700000,5820000,5930000
Ethiopia,ETH,62794151,64640054,66537331,68492257,70497192,72545144,74624405,76727083,78850689,81000409,83184892,85416253,87702670,90046756,92444183,94887724,97366774,99873033,102403196,104957000
Gabon,GAB,1171224,1200773,1231122,1262259,1294409,1328146,1364205,1403126,1444844,1489193,1536411,1586754,1640210,1697101,1756817,1817271,1875713,1930175,1979786,2025000
Gambia,GMB,1160944,1195420,1231844,1270495,1311349,1354194,1398573,1444204,1491021,1539116,1588572,1639560,1692149,1746363,1802125,1859324,1917852,1977590,2038501,2101000
Ghana,GHA,18036494,18477612,18938762,19421605,19924522,20446782,20986536,21542009,22113425,22700212,23298640,23903831,24512104,25121796,25733049,26346251,26962563,27582821,28206728,28834000
