Country,Preservation Requests,Preservation Accounts Preserved,Total Data Requests,Total Users/Accounts Requested,Percent Requests Where Some Data Produced,Legal Process Request Total,Legal Process Request Total Accounts,Legal Process Request Total Percentage,Emergency Request Total,Emergency Request Total Accounts,Emergency Request Total Percentage,Search Warrant,Search Warrant Accounts,Search Warrant Percentage,Subpoena,Subpoena Accounts,Subpoena Percentage,Court Order (Other),Court Order (Other) Accounts,Court Order (Other) Percentage,Court Order (18 USC 2703(d)),Court Order (18 USC 2703(d)) Accounts,Court Order (18 USC 2703(d)) Percentage,Pen Register/Trap and Trace,Pen Register/Trap and Trace Accounts,Pen Register/Trap and Trace Percentage,Title III,Title III Accounts,Title III Percentage
Albania,2,4,22,32,81.82%,22,32,81.82%,0,0,0%,,,,,,,,,,,,,,,,,,
Algeria,1,1,0,0,0%,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,
Argentina,301,482,829,"1,032",73.95%,758,939,72.96%,71,93,84.51%,,,,,,,,,,,,,,,,,,
Armenia,3,4,9,12,66.67%,9,12,66.67%,0,0,0%,,,,,,,,,,,,,,,,,,
Australia,410,578,761,801,55.45%,748,789,55.48%,13,12,53.85%,,,,,,,,,,,,,,,,,,
Austria,17,30,29,36,37.93%,25,30,36.00%,4,6,50.00%,,,,,,,,,,,,,,,,,,
Azerbaijan,4,8,7,8,0%,7,8,0%,0,0,0%,,,,,,,,,,,,,,,,,,
Bahrain,1,1,0,0,0%,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,
Bangladesh,0,0,10,9,20.00%,9,8,11.11%,1,1,100.00%,,,,,,,,,,,,,,,,,,
Belgium,47,0,420,674,86.43%,397,641,86.15%,23,33,91.30%,,,,,,,,,,,,,,,,,,
Belize,0,0,2,0,0%,1,0,0%,1,0,0%,,,,,,,,,,,,,,,,,,
Bolivia,1,0,2,3,50.00%,2,3,50.00%,0,0,0%,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,6,0,13,30,46.15%,13,30,46.15%,0,0,0%,,,,,,,,,,,,,,,,,,
Botswana,6,0,0,0,0%,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,
Brazil,777,0,"1,751","4,486",50.60%,"1,736","4,426",50.58%,15,60,53.33%,,,,,,,,,,,,,,,,,,
Brunei,0,0,1,1,0%,1,1,0%,0,0,0%,,,,,,,,,,,,,,,,,,
Bulgaria,1,0,6,10,50.00%,6,10,50.00%,0,0,0%,,,,,,,,,,,,,,,,,,
Canada,1163,0,"1,004","1,205",82.87%,644,800,82.45%,360,405,83.61%,,,,,,,,,,,,,,,,,,
Chile,22,0,380,521,71.32%,380,521,71.32%,0,0,0%,,,,,,,,,,,,,,,,,,
Colombia,215,0,214,355,57.48%,209,350,58.85%,5,5,0%,,,,,,,,,,,,,,,,,,
