Country,Preservation Requests,Preservation Accounts Preserved,Total Data Requests,Total Users/Accounts Requested,Percent Requests Where Some Data Produced,Legal Process Request Total,Legal Process Request Total Accounts,Legal Process Request Total Percentage,Emergency Request Total,Emergency Request Total Accounts,Emergency Request Total Percentage,Search Warrant,Search Warrant Accounts,Search Warrant Percentage,Subpoena,Subpoena Accounts,Subpoena Percentage,Court Order (Other),Court Order (Other) Accounts,Court Order (Other) Percentage,Court Order (18 USC 2703(d)),Court Order (18 USC 2703(d)) Accounts,Court Order (18 USC 2703(d)) Percentage,Pen Register/Trap and Trace,Pen Register/Trap and Trace Accounts,Pen Register/Trap and Trace Percentage,Title III,Title III Accounts,Title III Percentage,NSLs,NSLs Accounts
Albania,2,2,14,23,93%,14,23,93%,0,0,0,,,,,,,,,,,,,,,,,,,,
Algeria,0,0,1,0,0%,0,0,0%,1,0,0,,,,,,,,,,,,,,,,,,,,
Argentina,961,1473,1290,1902,80%,1213,1759,82%,77,143,0.62,,,,,,,,,,,,,,,,,,,,
Armenia,9,13,7,9,71%,7,9,71%,0,0,0,,,,,,,,,,,,,,,,,,,,
Australia,325,481,772,934,73%,742,892,73%,30,42,0.63,,,,,,,,,,,,,,,,,,,,
Austria,31,42,90,103,53%,78,87,51%,12,16,0.67,,,,,,,,,,,,,,,,,,,,
Bangladesh,4,4,60,95,47%,17,36,29%,43,59,0.53,,,,,,,,,,,,,,,,,,,,
Belgium,31,43,552,803,87%,531,779,87%,21,24,0.76,,,,,,,,,,,,,,,,,,,,
Bhutan,1,1,3,3,67%,1,1,0%,2,2,1,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,32,99,26,86,81%,22,77,86%,4,9,0.5,,,,,,,,,,,,,,,,,,,,
Botswana,1,1,0,0,0%,0,0,0%,0,0,0,,,,,,,,,,,,,,,,,,,,
Brazil,1596,2525,2529,6108,66%,2350,5296,64%,179,812,0.84,,,,,,,,,,,,,,,,,,,,
Bulgaria,5,5,20,29,80%,17,24,76%,3,5,1,,,,,,,,,,,,,,,,,,,,
Burkina Faso,1,1,2,2,0%,2,2,0%,0,0,0,,,,,,,,,,,,,,,,,,,,
Canada,1334,2037,1220,1538,87%,441,627,82%,779,911,0.89,,,,,,,,,,,,,,,,,,,,
Chile,135,226,399,626,78%,391,603,79%,8,23,0.5,,,,,,,,,,,,,,,,,,,,
Colombia,308,505,261,495,64%,215,408,71%,46,87,0.35,,,,,,,,,,,,,,,,,,,,
Costa Rica,108,159,0,0,0%,0,0,0%,0,0,0,,,,,,,,,,,,,,,,,,,,
Croatia,1,1,96,125,89%,96,125,89%,0,0,0,,,,,,,,,,,,,,,,,,,,
Cyprus,4,4,7,7,86%,5,5,80%,2,2,1,,,,,,,,,,,,,,,,,,,,
Czech Republic,102,176,81,138,85%,69,117,84%,12,21,0.92,,,,,,,,,,,,,,,,,,,,
Denmark,21,25,32,35,69%,31,34,68%,1,1,1,,,,,,,,,,,,,,,,,,,,
Dominican Republic,111,121,198,238,57%,150,178,65%,48,60,0.31,,,,,,,,,,,,,,,,,,,,
Ecuador,13,25,52,163,62%,48,151,67%,4,12,0,,,,,,,,,,,,,,,,,,,,
